Task,Our Bytes,Lowest Reported Bytes,Difference,
285,1262,288,974,974
238,1174,223,951,1925
138,1015,104,911,2836
66,1166,268,898,3734
284,1111,220,891,4625
219,1079,257,822,5447
117,965,148,817,6264
280,965,179,786,7050
324,1038,259,779,7829
101,981,281,700,8529
234,785,118,667,9196
370,907,260,647,9843
154,743,99,644,10487
383,724,121,603,11090
96,923,325,598,11688
209,853,289,564,12252
165,690,136,554,12806
182,707,169,538,13344
255,779,242,537,13881
319,707,194,513,14394
364,651,155,496,14890
77,597,126,471,15361
191,710,241,469,15830
205,633,166,467,16297
367,586,129,457,16754
206,561,144,417,17171
99,527,115,412,17583
279,507,107,400,17983
119,505,106,399,18382
343,453,65,388,18770
71,491,119,372,19142
349,583,214,369,19511
44,623,255,368,19879
89,587,236,351,20230
314,436,96,340,20570
86,510,172,338,20908
390,420,99,321,21229
302,407,89,318,21547
204,410,93,317,21864
208,525,215,310,22174
27,399,103,296,22470
137,433,141,292,22762
394,378,91,287,23049
336,379,93,286,23335
74,361,79,282,23617
330,415,134,281,23898
277,468,194,274,24172
202,376,102,274,24446
64,420,152,268,24714
196,379,112,267,24981
105,412,148,264,25245
54,543,280,263,25508
120,357,97,260,25768
192,370,110,260,26028
379,398,141,257,26285
48,346,92,254,26539
143,382,135,247,26786
5,452,206,246,27032
159,350,109,241,27273
251,326,89,237,27510
218,288,56,232,27742
34,354,125,229,27971
49,306,81,225,28196
308,449,226,223,28419
185,365,143,222,28641
42,361,139,222,28863
85,271,50,221,29084
387,438,218,220,29304
260,352,135,217,29521
8,299,84,215,29736
134,380,168,212,29948
245,318,106,212,30160
213,302,92,210,30370
216,324,114,210,30580
242,264,54,210,30790
36,284,75,209,30999
170,405,196,209,31208
18,531,323,208,31416
310,283,78,205,31621
400,271,67,204,31825
283,286,82,204,32029
174,300,97,203,32232
81,292,91,201,32433
197,255,54,201,32634
355,298,98,200,32834
153,332,133,199,33033
124,295,96,199,33232
338,263,64,199,33431
51,311,115,196,33627
88,297,101,196,33823
363,408,213,195,34018
351,260,67,193,34211
377,248,55,193,34404
46,362,170,192,34596
306,263,71,192,34788
145,380,191,189,34977
169,318,129,189,35166
190,295,109,186,35352
178,232,47,185,35537
198,306,122,184,35721
93,282,99,183,35904
76,458,276,182,36086
80,435,253,182,36268
50,266,85,181,36449
286,290,109,181,36630
55,262,83,179,36809
110,261,85,176,36985
350,267,91,176,37161
14,245,70,175,37336
168,283,111,172,37508
250,289,118,171,37679
97,279,108,171,37850
359,235,64,171,38021
33,242,73,169,38190
68,285,116,169,38359
