Task       Public   Private    Best   Deficit 
--------------------------------------------
Task 268   1893     -          239    1654    
Task 240   1108     -          99     1009    
Task 285   1262     -          288    974     
Task 238   1178     -          223    955     
Task 284   1142     -          220    922     
Task 66    1180     -          268    912     
Task 138   1015     -          104    911     
Task 76    1146     -          276    870     
Task 209   1133     -          273    860     
Task 117   1001     -          148    853     
Task 219   1090     -          257    833     
Task 280   998      -          179    819     
Task 324   1038     -          259    779     
Task 101   999      -          281    718     
Task 234   785      -          118    667     
Task 370   907      -          260    647     
Task 154   743      -          99     644     
Task 383   724      -          121    603     
Task 96    925      -          325    600     
Task 165   690      -          136    554     
Task 182   707      -          169    538     
Task 255   779      -          242    537     
Task 319   707      -          194    513     
Task 364   651      -          155    496     
Task 77    615      -          126    489     
Task 191   710      -          241    469     
Task 205   633      -          166    467     
Task 367   586      -          129    457     
Task 99    539      -          115    424     
Task 79    542      -          123    419     
Task 206   561      -          144    417     
Task 174   510      -          97     413     
Task 279   507      -          107    400     
Task 119   505      -          106    399     
Task 314   487      -          96     391     
Task 343   453      -          65     388     
Task 71    497      -          119    378     
Task 44    625      -          255    370     
Task 349   583      -          214    369     
Task 89    591      -          236    355     
Task 86    515      -          172    343     
Task 390   420      -          99     321     
Task 302   407      -          89     318     
Task 204   410      -          93     317     
Task 208   525      -          215    310     
Task 18    618      -          323    295     
Task 137   433      -          141    292     
Task 394   378      -          91     287     
Task 336   379      -          93     286     
Task 387   504      -          218    286     
Task 74    361      -          79     282     
Task 308   507      -          226    281     
Task 330   415      -          134    281     
Task 23    474      -          195    279     
Task 105   424      -          148    276     
Task 64    427      -          152    275     
Task 202   376      -          102    274     
Task 277   468      -          194    274     
Task 54    549      -          280    269     
Task 196   379      -          112    267     
Task 120   358      -          97     261     
Task 48    352      -          92     260     
Task 192   370      -          110    260     
Task 379   398      -          141    257     
Task 5     458      1032       206    252     
Task 143   382      -          135    247     
Task 159   350      -          109    241     
Task 251   326      -          89     237     
Task 34    360      -          125    235     
Task 218   288      -          56     232     
Task 49    308      -          81     227     
Task 42    361      -          139    222     
Task 85    272      -          50     222     
Task 134   380      -          158    222     
Task 185   365      -          143    222     
Task 8     305      392        84     221     
Task 260   352      -          135    217     
Task 36    289      -          75     214     
Task 245   318      -          106    212     
Task 213   302      -          92     210     
Task 216   324      -          114    210     
Task 242   264      -          54     210     
Task 170   405      -          196    209     
Task 88    307      -          101    206     
Task 310   283      -          78     205     
Task 283   286      -          82     204     
Task 400   271      -          67     204     
Task 81    294      -          91     203     
Task 197   255      -          54     201     
Task 355   298      -          98     200     
Task 51    314      -          115    199     
Task 124   295      -          96     199     
Task 153   332      -          133    199     
Task 338   263      -          64     199     
Task 351   265      -          67     198     
Task 80    449      -          253    196     
Task 46    365      -          170    195     
Task 363   408      -          213    195     
Task 377   248      -          55     193     
Task 306   263      -          71     192     
Task 145   380      -          191    189     
Task 169   318      -          129    189     
Task 50    273      -          85     188     
Task 190   295      -          109    186     
Task 178   232      -          47     185     
Task 198   306      -          122    184     
Task 93    282      -          99     183     
Task 14    251      285        70     181     
Task 286   290      -          109    181     
Task 55    262      -          83     179     
Task 110   263      -          85     178     
Task 68    292      -          116    176     
Task 350   267      -          91     176     
Task 62    317      -          143    174     
Task 35    256      -          83     173     
Task 33    245      -          73     172     
Task 97    280      -          108    172     
Task 168   283      -          111    172     
Task 107   333      -          162    171     
Task 250   289      -          118    171     
Task 359   235      -          64     171     
Task 17    268      404        99     169     
Task 369   282      -          113    169     
Task 37    272      -          105    167     
Task 58    270      -          103    167     
Task 132   260      251        86     165     
Task 313   228      -          63     165     
Task 187   256      -          92     164     
Task 94    264      -          102    162     
Task 374   273      -          112    161     
Task 304   250      -          92     158     
Task 362   227      -          69     158     
Task 396   337      -          179    158     
Task 65    248      -          91     157     
Task 70    235      -          78     157     
Task 139   251      265        94     157     
Task 25    287      -          131    156     
Task 92    242      -          86     156     
Task 265   260      -          104    156     
Task 195   260      -          105    155     
Task 365   266      -          111    155     
Task 47    207      -          55     152     
Task 125   278      -          126    152     
Task 63    225      -          74     151     
Task 148   292      -          141    151     
Task 201   359      -          208    151     
Task 356   256      -          105    151     
Task 254   234      -          84     150     
Task 323   252      -          102    150     
Task 20    295      -          146    149     
Task 222   252      -          103    149     
Task 244   212      -          64     148     
Task 220   234      -          87     147     
Task 317   206      -          59     147     
Task 126   200      -          54     146     
Task 228   263      -          119    144     
Task 122   225      -          82     143     
Task 147   226      -          83     143     
Task 22    232      -          91     141     
Task 141   235      -          94     141     
Task 183   234      -          93     141     
Task 166   201      -          61     140     
Task 305   197      -          57     140     
Task 333   229      -          89     140     
Task 352   224      -          84     140     
Task 75    225      -          86     139     
Task 59    294      -          156    138     
Task 384   200      -          62     138     
Task 91    199      -          63     136     
Task 368   274      -          138    136     
Task 29    243      -          108    135     
Task 131   260      -          125    135     
Task 331   218      -          83     135     
Task 381   214      -          79     135     
Task 378   277      -          143    134     
Task 30    227      -          94     133     
Task 259   217      -          85     132     
Task 278   250      -          118    132     
Task 90    290      -          159    131     
Task 207   212      -          81     131     
Task 212   236      -          105    131     
Task 354   227      -          96     131     
Task 264   346      -          216    130     
Task 257   203      -          74     129     
Task 128   189      -          61     128     
Task 225   260      -          132    128     
Task 271   214      -          86     128     
Task 273   244      -          116    128     
Task 237   192      -          67     125     
Task 136   229      -          105    124     
Task 346   182      -          58     124     
Task 281   268      -          145    123     
Task 358   220      -          97     123     
Task 61    265      185        63     122     
Task 149   197      -          75     122     
Task 161   320      204        82     122     
Task 348   216      -          94     122     
Task 398   199      -          77     122     
Task 399   186      -          64     122     
Task 303   183      -          62     121     
Task 108   176      -          56     120     
Task 127   185      -          65     120     
Task 156   266      -          146    120     
Task 253   249      -          129    120     
Task 4     199      317        80     119     
Task 239   218      -          99     119     
Task 388   180      -          61     119     
Task 13    258      576        140    118     
Task 160   223      -          105    118     
Task 109   208      198        81     117     
Task 243   196      -          79     117     
Task 344   195      -          78     117     
Task 2     206      302        90     116     
Task 270   231      -          117    114     
Task 246   218      -          105    113     
Task 382   247      -          134    113     
Task 175   184      -          75     109     
Task 340   228      -          119    109     
Task 43    162      -          56     106     
Task 163   237      -          131    106     
Task 322   154      -          48     106     
Task 184   286      205        100    105     
Task 95    177      -          73     104     
Task 189   215      -          111    104     
Task 214   166      -          62     104     
Task 226   243      -          139    104     
Task 341   236      -          132    104     
Task 335   210      -          107    103     
Task 342   214      -          111    103     
Task 221   189      -          87     102     
Task 19    246      205        105    100     
Task 230   214      -          114    100     
Task 321   155      -          55     100     
Task 287   155      -          56     99      
Task 224   268      -          171    97      
Task 320   165      -          68     97      
Task 274   166      -          71     95      
Task 386   147      -          52     95      
Task 203   158      -          64     94      
Task 217   189      -          95     94      
Task 357   180      -          86     94      
Task 123   168      -          75     93      
Task 247   188      -          95     93      
Task 272   181      -          89     92      
Task 397   213      -          121    92      
Task 325   251      -          160    91      
Task 15    196      183        93     90      
Task 236   144      -          54     90      
Task 256   185      -          95     90      
Task 252   146      -          57     89      
Task 299   143      -          54     89      
Task 12    218      213        127    86      
Task 263   208      -          122    86      
Task 69    236      -          151    85      
Task 199   169      183        84     85      
Task 11    204      296        121    83      
Task 24    145      -          62     83      
Task 112   192      234        109    83      
Task 146   141      -          58     83      
Task 102   552      232        150    82      
Task 176   146      -          64     82      
Task 193   163      -          81     82      
Task 232   140      -          58     82      
Task 300   168      -          87     81      
Task 7     142      143        62     80      
Task 9     282      189        109    80      
Task 248   151      -          72     79      
Task 316   150      -          71     79      
Task 98    175      165        88     77      
Task 28    139      -          63     76      
Task 266   178      -          102    76      
Task 100   160      -          85     75      
Task 327   142      -          67     75      
Task 334   141      -          66     75      
Task 347   125      -          50     75      
Task 104   158      -          84     74      
Task 233   370      -          297    73      
Task 282   156      -          83     73      
Task 389   130      -          57     73      
Task 345   162      -          90     72      
Task 200   199      153        84     69      
Task 275   204      -          136    68      
Task 40    252      135        69     66      
Task 130   128      -          65     63      
Task 312   107      -          44     63      
Task 82    112      -          50     62      
Task 57    108      -          48     60      
Task 38    109      -          51     58      
Task 158   325      -          269    56      
Task 162   152      -          96     56      
Task 167   127      -          71     56      
Task 291   115      -          61     54      
Task 294   124      -          70     54      
Task 371   162      -          109    53      
Task 295   106      -          54     52      
Task 353   144      -          92     52      
Task 115   134      105        54     51      
Task 293   108      -          59     49      
Task 298   104      -          55     49      
Task 332   106      -          58     48      
Task 186   107      -          60     47      
Task 395   98       -          53     45      
Task 215   86       -          42     44      
Task 290   111      -          67     44      
Task 111   102      115        60     42      
Task 171   93       97         51     42      
Task 269   105      -          63     42      
Task 391   104      -          63     41      
Task 393   104      -          63     41      
Task 121   242      127        89     38      
Task 261   84       -          47     37      
Task 296   98       -          63     35      
Task 288   123      -          89     34      
Task 373   73       -          39     34      
Task 27    415      136        103    33      
Task 73    79       -          46     33      
Task 181   99       112        67     32      
Task 231   75       -          43     32      
Task 106   98       155        67     31      
Task 258   91       -          61     30      
Task 318   84       -          54     30      
Task 289   92       -          63     29      
Task 297   72       -          43     29      
Task 10    96       152        68     28      
Task 223   79       -          51     28      
Task 361   221      -          193    28      
Task 151   134      228        108    26      
Task 188   113      87         61     26      
Task 267   72       -          46     26      
Task 45    70       -          45     25      
Task 307   75       -          50     25      
Task 229   97       -          73     24      
Task 133   321      -          298    23      
Task 21    79       88         57     22      
Task 194   120      89         67     22      
Task 372   69       -          48     21      
Task 144   73       -          53     20      
Task 227   72       -          52     20      
Task 41    67       -          49     18      
Task 72    73       72         54     18      
Task 235   79       -          61     18      
Task 360   109      62         45     17      
Task 16    59       59         43     16      
Task 84    78       103        62     16      
Task 292   72       -          56     16      
Task 114   107      79         64     15      
Task 177   155      66         51     15      
Task 211   63       -          48     15      
Task 329   107      68         54     14      
Task 315   76       -          63     13      
Task 375   66       -          53     13      
Task 180   91       -          79     12      
Task 328   175      -          163    12      
Task 392   161      -          149    12      
Task 56    80       51         40     11      
Task 39    249      70         60     10      
Task 78    170      70         60     10      
Task 276   48       -          38     10      
Task 103   38       -          29     9       
Task 118   280      -          271    9       
Task 366   374      -          365    9       
Task 385   111      34         25     9       
Task 3     66       173        58     8       
Task 6     66       59         51     8       
Task 262   46       -          39     7       
Task 301   38       -          31     7       
Task 309   45       -          38     7       
Task 31    126      51         45     6       
Task 60    71       54         48     6       
Task 26    57       61         52     5       
