Task       Public   Private    Best   Deficit  Type                          
------------------------------------------------------------------------
Task 86    515      -          172    343      blooming                      
Task 42    361      -          139    222      blooming                      
Task 80    449      -          253    196      blooming                      
Task 94    264      -          102    162      blooming                      
Task 95    177      -          73     104      blooming                      
Task 19    246      205        105    100      blooming                      
Task 15    196      183        93     90       blooming                      
Task 12    218      213        127    86       blooming                      
Task 66    1180     333        268    65       combination                   
Task 71    497      -          119    378      completion                    
Task 74    361      -          79     282      completion                    
Task 68    292      -          116    176      counting                      
Task 21    79       88         57     22       counting                      
Task 49    308      -          81     227      cropping                      
Task 36    289      -          75     214      cropping                      
Task 88    307      -          101    206      cropping                      
Task 14    251      285        70     181      cropping                      
Task 62    317      -          143    174      cropping                      
Task 91    199      -          63     136      cropping                      
Task 57    108      -          48     60       cropping                      
Task 39    249      70         60     10       cropping                      
Task 31    126      51         45     6        cropping                      
Task 55    262      -          83     179      filling                       
Task 79    542      -          123    419      fixed size search             
Task 5     458      1032       206    252      fixed size search             
Task 81    294      -          91     203      fixed size search             
Task 22    232      -          91     141      fixed size search             
Task 38    109      -          51     58       fixed size search             
Task 111   102      115        60     42       fixed size search             
Task 2     206      302        90     116      flood fill                    
Task 33    245      -          73     172      grid of grids                 
Task 65    248      -          91     157      grid of grids                 
Task 75    225      -          86     139      grid of grids                 
Task 59    294      -          156    138      grid of grids                 
Task 61    265      185        63     122      grid of grids                 
Task 109   208      198        81     117      grid of grids                 
Task 11    204      296        121    83       grid of grids                 
Task 120   358      -          97     261      image filter                  
Task 97    280      -          108    172      image filter                  
Task 98    175      165        88     77       image filter                  
Task 23    474      -          195    279      jigsaw                        
Task 46    365      -          170    195      jigsaw                        
Task 40    252      135        69     66       key                           
Task 115   134      105        54     51       key                           
Task 56    80       51         40     11       key                           
Task 103   38       -          29     9        key                           
Task 119   505      -          106    399      line extension                
Task 64    427      -          152    275      line extension                
Task 54    549      -          280    269      line extension                
Task 34    360      -          125    235      line extension                
Task 51    314      -          115    199      line extension                
Task 50    273      -          85     188      line extension                
Task 107   333      -          162    171      line extension                
Task 37    272      -          105    167      line extension                
Task 58    270      -          103    167      line extension                
Task 92    242      -          86     156      line extension                
Task 47    207      -          55     152      line extension                
Task 63    225      -          74     151      line extension                
Task 24    145      -          62     83       line extension                
Task 9     282      189        109    80       line extension                
Task 10    96       152        68     28       line extension                
Task 45    70       -          45     25       line extension                
Task 41    67       -          49     18       line extension                
Task 84    78       103        62     16       line extension                
Task 60    71       54         48     6        line extension                
Task 104   158      -          84     74       misc                          
Task 48    352      -          92     260      object find                   
Task 76    1146     -          276    870      object find/overlay           
Task 101   999      -          281    718      object find/overlay           
Task 96    925      -          325    600      object find/overlay           
Task 89    591      -          236    355      object find/overlay           
Task 18    618      -          323    295      object find/overlay           
Task 69    236      -          151    85       object find/overlay           
Task 117   1001     -          148    853      pattern completion            
Task 110   263      -          85     178      pattern completion            
Task 17    268      404        99     169      pattern completion            
Task 20    295      -          146    149      pattern completion            
Task 112   192      234        109    83       pattern completion            
Task 28    139      -          63     76       pattern completion            
Task 118   280      -          271    9        pattern completion            
Task 13    258      576        140    118      pattern extension             
Task 7     142      143        62     80       pattern extension             
Task 82    112      -          50     62       pattern extension             
Task 114   107      79         64     15       pattern extension             
Task 3     66       173        58     8        pattern extension             
Task 77    615      -          126    489      rectangle finding             
Task 99    539      -          115    424      rectangle finding             
Task 44    625      -          255    370      rectangle finding             
Task 105   424      -          148    276      rectangle finding             
